Using proactor: IocpProactor
('192.168.43.106', '0.512', '0.284', '-1.814')
('192.168.43.106', '0.511', '0.268', '-1.814')
('192.168.43.106', '0.511', '0.266', '-1.814')
('192.168.43.106', '0.510', '0.250', '-1.814')
('192.168.43.106', '0.510', '0.234', '-1.814')
('192.168.43.106', '0.509', '0.232', '-1.814')
('192.168.43.106', '0.509', '0.280', '-1.814')
('192.168.43.106', '0.508', '0.277', '-1.814')
('192.168.43.106', '0.508', '0.263', '-1.814')
('192.168.43.106', '0.507', '0.272', '-1.814')
('192.168.43.106', '0.507', '0.266', '-1.814')
('192.168.43.106', '0.506', '0.253', '-1.814')
('192.168.43.106', '0.506', '0.243', '-1.814')
('192.168.43.106', '0.505', '0.244', '-1.813')
('192.168.43.106', '0.505', '0.236', '-1.813')
('192.168.43.106', '0.504', '0.226', '-1.813')
('192.168.43.106', '0.503', '0.212', '-1.813')
('192.168.43.106', '0.503', '0.214', '-1.813')
('192.168.43.106', '0.502', '0.215', '-1.813')
('192.168.43.106', '0.502', '0.209', '-1.813')
('192.168.43.106', '0.501', '0.213', '-1.813')
('192.168.43.106', '0.501', '0.209', '-1.813')
('192.168.43.106', '0.500', '0.198', '-1.813')
('192.168.43.106', '0.499', '0.186', '-1.813')
('192.168.43.106', '0.499', '0.174', '-1.813')
('192.168.43.106', '0.498', '0.174', '-1.813')
('192.168.43.106', '0.498', '0.166', '-1.813')
('192.168.43.106', '0.497', '0.159', '-1.813')
('192.168.43.106', '0.496', '0.151', '-1.813')
('192.168.43.106', '0.496', '0.145', '-1.813')
('192.168.43.106', '0.495', '0.146', '-1.813')
('192.168.43.106', '0.494', '0.144', '-1.813')
('192.168.43.106', '0.494', '0.143', '-1.813')
('192.168.43.106', '0.493', '0.157', '-1.813')
('192.168.43.106', '0.492', '0.153', '-1.813')
('192.168.43.106', '0.492', '0.156', '-1.813')
('192.168.43.106', '0.491', '0.148', '-1.813')
('192.168.43.106', '0.490', '0.143', '-1.813')
('192.168.43.106', '0.490', '0.137', '-1.813')
('192.168.43.106', '0.489', '0.142', '-1.813')
('192.168.43.106', '0.488', '0.136', '-1.813')
('192.168.43.106', '0.488', '0.134', '-1.813')
('192.168.43.106', '0.487', '0.132', '-1.813')
('192.168.43.106', '0.486', '0.147', '-1.813')
('192.168.43.106', '0.486', '0.150', '-1.813')
